nombre_equipo,nombre_estadio
AC Milan,Giuseppe Meazza
AC Monza,Stadio Brianteo
ACF Fiorentina,Artemio Franchi
AS Roma,Olimpico
Atalanta,Gewiss Stadium
Bologna FC,Renato Dall'Ara
Cagliari Calcio,Unipol Domus
Como 1907,Stadio Giuseppe Sinigaglia
Empoli FC,Carlo Castellani
Genoa CFC,Luigi Ferraris
Hellas Verona,Marc Antonio Bentegodi
Inter,Giuseppe Meazza
Juventus,Allianz Stadium
Lazio Roma,Olimpico
Parma Calcio 1913,Ennio Tardini
SSC Napoli,Diego Maradona
Torino FC,Olimpico di Torino
Udinese Calcio,Bluenergy Stadium
US Lecce,Via del Mare
Venezia FC,Pierluigi Penzo